[22/10/2023 - 04:17:03] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
[22/10/2023 - 04:26:51] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
[22/10/2023 - 04:37:12] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 04:47:05] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OpenWave/97.4.2043.44
[22/10/2023 - 04:58:46] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 05:06:42] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 05:16:56] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 05:26:57] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 05:37:08] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 05:57:28] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 06:17:35] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Herring/95.1.8810.11
[22/10/2023 - 06:27:04] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Herring/95.1.8810.11
[22/10/2023 - 06:47:31] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
[22/10/2023 - 06:57:24] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 07:07:16] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 07:17:36] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36
[22/10/2023 - 07:43:22] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36
[22/10/2023 - 08:18:01] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 08:27:17] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36
[22/10/2023 - 08:47:52] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
[22/10/2023 - 08:57:35] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
